,Temperature,Latitude,Longitude,Cloudiness,Country,Date,Humidity,Maximum Temperature,Wind Speed,City Name
151,72.27,11.98,18.21,0,TD,1584217079,13,72.27,6.15,Bitkine
152,77.49,-2.92,-39.92,98,BR,1584217042,92,77.49,4.09,Itarema
153,60.39,14.2,24.67,33,SD,1584216844,23,60.39,5.12,Kutum
154,75.87,-38.72,-62.27,75,AR,1584216805,23,75.87,12.26,Bahía Blanca
155,33.8,54.32,-130.32,1,CA,1584216907,26,33.8,6.93,Prince Rupert
156,62.6,-33.87,121.9,75,AU,1584217013,93,62.6,13.87,Esperance
157,28.53,57.37,57.25,97,RU,1584217086,95,28.53,5.1,Ust'-Kishert'
158,31.95,50.41,80.23,33,KZ,1584216931,78,31.95,9.57,Semey
159,62.6,38.52,-28.7,40,PT,1584217088,72,62.6,12.75,Ribeira Grande
160,-27.81,70.02,135.6,0,RU,1584216801,90,-27.81,7.11,Ust-Kuyga
161,73.89,-33.02,27.91,51,ZA,1584217090,78,73.89,8.93,East London
162,69.75,-16.78,47.65,100,MG,1584217091,86,69.75,5.1,Tsaratanana
163,83.07,-11.38,43.28,100,KM,1584217092,78,83.07,11.74,Mitsamiouli
164,66.2,33.6,56.92,35,IR,1584217094,11,66.2,4.7,Tabas
165,-15.75,67.45,153.68,100,RU,1584217006,89,-15.75,14.18,Srednekolymsk
166,48.15,26.89,88.07,1,NP,1584217097,74,48.15,5.28,Birin
167,84.33,-8.77,160.7,100,SB,1584217098,79,84.33,15.88,Auki
168,91.54,14.05,-88.02,1,HN,1584217099,29,91.99,9.17,Los Planes
169,79.65,19.38,-69.85,40,DO,1584216906,88,80.6,16.11,Nagua
170,31.53,45.02,-93.22,40,US,1584216948,51,34.0,6.46,Saint Anthony
171,19.89,64.38,-173.3,100,RU,1584216877,81,19.89,5.12,Provideniya
172,47.62,51.38,1.39,20,GB,1584216392,87,48.99,14.99,Margate
173,79.29,16.29,119.81,63,PH,1584217106,83,79.29,12.59,Catuday
174,44.6,38.69,35.55,20,TR,1584217020,87,44.6,9.17,Talas
175,0.99,59.38,143.3,100,RU,1584216978,87,0.99,5.95,Okhotsk
176,84.2,11.78,-72.44,20,CO,1584217109,70,84.2,12.75,Manaure
